HDO-kategori,Tema,Tekst,Løfte-ID,Partier,Hvem
Transport og kommunikasjon,Rushtidsavgift,Mot rushtidsavgift.,56233,FrP,Amund
Transport og kommunikasjon,Rushtidsavgift,For rushtidsavgift.,57722 / 58957,V / SV,Amund
Utdanning og forskning,SFO,Gratis SFO for lavinntektsfamilier.,58173 / 61234,V / Sp,Amund
Utdanning og forskning,SFO,Innføre en nasjonal makspris og på sikt gjøre ordningen gratis.,59077,SV,Amund
Utdanning og forskning,SFO,Gjøre om skolefritidsordningen (SFO) til aktivitetsskole (AKS) med makspris.,56418 / 56421,A,Amund
Utdanning og forskning,SFO,Gi familier med lav inntekt tilbud om SFO.,60178,H,Amund
Utdanning og forskning,SFO,Innføre søskenmoderasjon for kombinasjon av SFO og barnehage.,54443,KrF,Amund
Utdanning og forskning,Helsdagskole,Ja til heldagsskole.,59581 / 59078,SV,Amund
Utdanning og forskning,Helsdagskole,Prioritere flere skoletimer fremfor heldagsskole.,60226,H,Amund
Utdanning og forskning,Helsdagskole,Nei til heldagsskole.,62036 / 54473 / 60226,MDG / KrF / H,Amund
Utdanning og forskning,Helsdagskole,La den enkelte skoleeier avgjøre timetallet i skolen.,56108,FrP,Amund
Helse og omsorg,Heroinassistert behandling,Nei til heroinassistert behandling.,56005 / 54986,FrP / KrF,Amund
Helse og omsorg,Heroinassistert behandling,Ja til heroinassistert behandling ved behov.,56626 / 62217,A / MDG,Amund
Helse og omsorg,Heroinassistert behandling,Ja til begrensede forsøk med heroinassistert behandling.,60455,H,Amund
Justis og beredskap,Tiggeforbud,Innføre nasjonalt forbud mot tigging.,55783 / 55790,FrP,Amund
Justis og beredskap,Tiggeforbud,Nei til tiggeforbud.,58646 / 54778 / 62369,V / KrF / MDG,Amund
Innvandring og asyl,Uidentifiserte asylsøkere,Nekte oppholdstillatelse for personer som bevisst skjuler sin identitet.,55899,FrP,Amund
Innvandring og asyl,Uidentifiserte asylsøkere,"Gi papirløse flyktninger et midlertidig identitetsnummer og, ved lang botid i Norge, arbeidstillatelse.",58220 / 58243,V,Amund
Innvandring og asyl,Uidentifiserte asylsøkere,Garantere helsehjelp til uidentifiserte/papirløse.,54970 / 58268 / 59455 / 59331,KrF / V / SV,Amund
Innvandring og asyl,Uidentifiserte asylsøkere,"Gi oppholdstillatelse til papirløse voksne etter sju år i Norge, og barn etter fire år.",62450 / 62261,MDG,Amund
Innvandring og asyl,Uidentifiserte asylsøkere,Håndheve kravet i utlendingsloven om at asylsøkere skal bidra til å avklare sin egen identitet.,59966,H,Amund
Innvandring og asyl,Uidentifiserte asylsøkere,Effektivisere metoder for identitets- og aldersavklaring.,59966 / 57192 / 57198,H / A,Amund
